bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
Senador Camará;142;142;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;5702;7039;6565;6916;8076;7143;14882;15529;13050;9964;7093
Santíssimo;143;143;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;2482;3056;2830;3034;3618;3499;7100;7611;6507;4835;3488
Campo Grande;144;144;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;18505;22020;21317;22217;24213;24512;52628;53856;46638;37447;29061
Senador Vasconcelos;145;145;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;1638;1907;1888;2068;2567;2187;4602;5206;4553;3584;2682
Inhoaíba;146;146;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;4495;5238;5039;5126;5597;5618;11183;10576;8787;6413;4055
Cosmos;147;147;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;5662;6814;6664;6845;7513;7542;14944;14120;11791;8167;5415
Paciência;148;148;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;6333;7448;7458;7965;8325;8017;15203;15749;12329;9532;6496
Santa Cruz;149;149;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;16093;18645;18908;18972;20304;19943;36966;36221;28138;20655;14162
Sepetiba;150;150;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;3682;4354;4440;4413;4646;4172;8142;8085;6985;5686;4079
Guaratiba;151;151;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;10088;11311;11021;11682;12653;11945;23560;24129;18201;11741;7670
Barra de Guaratiba;152;152;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;208;247;258;278;315;299;671;756;728;554;441
Pedra de Guaratiba;153;153;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;599;681;671;763;811;769;1699;1768;1612;1419;1133
Rocinha;154;154;ROCINHA;27;XXVII Rocinha;Zona Sul;2.1;Área de Planejamento 2;2;4208;5013;4858;5104;7033;7260;13220;10587;7007;4331;2270
